16,0,0,2
36,11,12,1
37,11,12,1
38,11,12,1
39,13,12,1
40,12,23,1
41,12,13,1
42,12,13,1
43,12,13,1
44,12,23,1
45,12,23,1
46,12,24,1
47,12,21,1
48,12,23,1
49,12,13,1
49,12,11,1
50,13,14,1
50,12,11,1
51,14,0,1
51,12,0,1
52,23,10,1
52,12,11,1
53,26,25,1
53,12,11,1
54,12,21,1
54,25,10,1
55,12,30,1
55,25,30,1
56,13,14,1
57,13,10,1
58,13,23,1
59,13,14,1
60,13,23,1
61,13,10,1
62,13,14,1
62,13,12,1
63,14,0,1
63,13,0,1
64,13,30,1
64,10,30,1
65,13,0,1
65,10,0,1
66,26,25,1
66,13,12,1
67,13,30,1
67,25,30,1
68,13,23,1
68,25,10,1
69,14,10,1
70,14,10,1
71,14,0,1
71,10,0,1
72,15,0,2
73,15,0,2
74,15,30,2
75,15,0,2
76,15,13,1
76,15,10,1
77,15,0,2
78,15,0,2
79,13,12,1
79,15,0,2
80,12,11,1
80,15,0,2
81,15,0,2
81,10,23,1
82,20,12,1
83,20,22,1
84,20,21,1
85,20,22,1
86,20,21,1
87,20,22,1
88,20,21,1
89,12,11,1
89,20,22,1
90,12,11,1
90,20,21,1
91,13,12,1
91,20,22,1
92,13,12,1
92,20,21,1
93,20,22,1
94,20,21,1
95,21,23,1
96,21,22,1
97,21,23,1
98,21,12,1
99,21,23,1
100,21,23,1
101,21,23,1
102,21,23,1
102,12,11,1
103,21,23,1
103,10,23,1
104,21,23,1
104,25,26,1
105,22,23,1
106,22,12,1
107,22,23,1
108,22,23,1
109,22,23,1
110,22,23,1
111,22,23,1
112,22,20,1
113,22,23,1
114,22,23,1
114,12,11,1
115,22,23,1
115,25,26,1
116,23,10,1
117,23,10,1
118,23,27,1
119,23,30,2
120,10,25,1
121,10,25,1
122,25,10,1
123,25,26,1
124,25,27,1
125,25,10,2
126,25,10,1
126,25,28,1
127,26,25,1
128,26,25,1
129,26,29,1
129,25,10,1
130,26,10,1
130,26,25,1
131,27,25,1
132,27,25,1
133,25,28,1
134,28,25,1
135,28,25,1
136,28,25,1
137,28,25,1
138,28,10,1
139,25,29,1
140,29,28,1
141,29,25,1
142,29,26,1
143,29,28,1
144,10,31,1
145,31,28,1
146,31,25,1
147,31,26,1
148,31,28,1
149,24,10,1
150,24,23,1
151,24,13,1
152,24,10,1
153,24,26,1
154,24,25,1
155,30,0,2
156,30,0,2
157,30,0,2
158,30,0,2
159,30,10,2
160,30,0,2
161,30,23,1
161,30,10,1
162,30,0,2
162,10,25,1
163,12,18,2
164,12,19,2
165,13,18,1
165,12,18,1
166,22,17,1
166,12,17,1
167,22,19,1
167,12,19,1
168,12,16,2
169,16,19,2
170,16,17,2
171,16,12,1
171,16,11,1
172,16,17,2
173,16,18,2
174,16,17,2
175,16,17,2
175,12,11,1
176,16,17,2
176,10,23,1
177,16,17,2
177,25,26,1
178,16,17,2
178,25,27,1
179,17,18,2
180,17,18,2
181,17,23,1
181,17,12,1
182,17,12,1
182,17,10,1
183,17,18,2
184,17,19,2
185,17,23,1
185,17,11,1
186,17,18,2
187,17,16,2
188,17,18,2
188,12,11,1
189,17,19,2
189,12,11,1
190,17,18,2
190,13,12,1
191,18,15,2
192,18,15,2
193,18,12,1
193,18,10,1
194,18,15,2
195,18,15,2
195,12,11,1
196,18,15,2
196,13,12,1
197,18,30,1
197,18,12,1
197,10,30,1
198,19,15,2
199,19,0,2
200,19,18,2
201,19,15,2
202,19,18,2
203,19,15,2
204,19,12,1
204,19,10,1
205,19,15,2
206,19,12,1
206,19,10,1
207,19,12,1
207,19,10,1
208,19,15,2
209,19,12,1
209,19,25,1
210,19,15,2
210,12,11,1
211,27,26,1
212,25,10,1
213,10,26,1
214,10,27,1
215,26,25,1
216,27,25,1
217,26,10,1
218,23,26,1
219,23,10,1
220,30,0,2
221,11,12,1
222,27,10,1
223,27,23,1
224,12,11,1
225,10,23,1
226,12,21,1
227,12,0,1
227,10,0,1
228,12,15,1
228,10,15,1
229,21,23,1
230,12,11,1
231,18,15,2
232,23,10,1
232,25,26,1
233,23,10,1
234,17,18,2
